timestamp,load_pct,fuel_flow_kg_s,water_flow_kg_s,air_temp_k,drum_pressure_mpa,steam_temp_c,tube_metal_temp_c,flue_gas_temp_c,flue_gas_o2_pct,true_fouling_resistance,is_anomalous
2026-03-01 00:00:00,75.75,2.6489,8.0838,293.17,16.196,537.1,565.18,178.1,3.516,0.002092,1
2026-03-01 00:00:05,74.82,2.5668,7.9948,293.36,16.137,536.8,565.16,178.33,3.467,0.002182,1
2026-03-01 00:00:10,76.03,2.6958,8.2412,293.46,16.221,536.27,565.4,177.13,3.593,0.002276,1
2026-03-01 00:00:15,77.37,2.7376,8.4399,293.13,16.139,536.97,565.65,178.21,3.557,0.00237,1
2026-03-01 00:00:20,74.76,2.5896,8.157,293.33,16.118,536.43,565.43,178.27,3.5,0.002461,1
2026-03-01 00:00:25,74.79,2.6458,7.9968,293.36,16.178,537.26,565.53,177.89,3.369,0.002553,1
2026-03-01 00:00:30,77.53,2.7287,8.4529,293.19,16.235,537.19,565.95,177.16,3.545,0.002649,1
2026-03-01 00:00:35,76.34,2.6208,8.1031,293.55,16.21,535.4,565.9,177.42,3.527,0.002742,1
2026-03-01 00:00:40,74.52,2.5739,8.0316,293.37,16.21,536.51,565.77,180.28,3.513,0.002832,1
2026-03-01 00:00:45,76.06,2.7077,8.2537,293.05,16.087,536.11,566.06,179.94,3.581,0.002928,1
2026-03-01 00:00:50,74.58,2.6227,7.8885,293.22,16.078,535.74,565.97,179.32,3.541,0.003022,1
2026-03-01 00:00:55,74.61,2.5886,8.2248,293.34,16.169,535.32,566.06,178.83,3.481,0.003112,1
2026-03-01 00:01:00,75.69,2.615,8.2811,293.55,16.206,536.83,566.29,178.73,3.572,0.003204,1
2026-03-01 00:01:05,72.49,2.5165,7.8806,293.29,16.128,536.46,565.99,179.05,3.548,0.003293,1
2026-03-01 00:01:10,72.8,2.5302,7.7851,293.23,16.237,535.32,566.12,178.15,3.6,0.003381,1
2026-03-01 00:01:15,74.57,2.5761,8.0482,293.42,16.095,536.67,566.42,180.19,3.516,0.003471,1
2026-03-01 00:01:20,73.92,2.5176,8.0469,293.13,16.145,536.99,566.43,179.81,3.558,0.003562,1
2026-03-01 00:01:25,75.94,2.7035,8.1118,292.98,16.167,536.14,566.77,179.96,3.607,0.003658,1
2026-03-01 00:01:30,74.14,2.6336,7.9922,293.32,16.162,535.56,566.64,179.43,3.622,0.003748,1
2026-03-01 00:01:35,73.41,2.5183,8.0007,293.1,16.134,535.8,566.65,179.39,3.476,0.003837,1
2026-03-01 00:01:40,77.75,2.7267,8.2775,293.72,16.185,536.83,567.26,180.87,3.541,0.003934,1
2026-03-01 00:01:45,75.24,2.5974,8.1527,293.23,16.175,536.55,567.06,179.27,3.448,0.004026,1
2026-03-01 00:01:50,75.71,2.6394,8.0362,293.32,16.17,535.95,567.2,182.34,3.555,0.004119,1
2026-03-01 00:01:55,73.5,2.5586,7.8623,293.06,16.123,535.24,567.03,179.78,3.507,0.004211,1
2026-03-01 00:02:00,74.85,2.6025,8.043,293.44,16.203,535.88,567.28,179.54,3.381,0.004302,1
2026-03-01 00:02:05,75.86,2.7351,8.2336,293.18,16.293,535.8,567.5,181.48,3.513,0.004399,1
2026-03-01 00:02:10,73.99,2.5721,7.935,293.16,16.032,535.62,567.37,180.2,3.596,0.004489,1
2026-03-01 00:02:15,76.31,2.6385,8.2514,293.17,16.243,535.63,567.74,180.77,3.533,0.00458,1
2026-03-01 00:02:20,74.87,2.59,8.0312,292.93,16.179,535.67,567.65,181.02,3.432,0.004669,1
2026-03-01 00:02:25,75.36,2.6795,8.0968,293.14,16.121,534.75,567.81,180.79,3.517,0.004764,1
2026-03-01 00:02:30,74.93,2.5563,8.1921,293.3,16.13,535.66,567.85,180.79,3.49,0.004854,1
2026-03-01 00:02:35,78.63,2.7217,8.4005,292.89,16.274,536.4,568.39,181.97,3.521,0.004949,1
2026-03-01 00:02:40,75.86,2.7131,8.254,293.4,16.172,535.42,568.15,182.78,3.572,0.005044,1
2026-03-01 00:02:45,74.32,2.6111,8.027,293.14,16.133,535.34,568.05,181.31,3.405,0.005134,1
2026-03-01 00:02:50,77.17,2.7087,8.2886,293.25,16.163,534.85,568.49,182.01,3.482,0.005228,1
2026-03-01 00:02:55,74.14,2.68,7.9092,292.75,16.093,535.39,568.22,182.54,3.438,0.005323,1
2026-03-01 00:03:00,76.31,2.6806,8.1495,293.25,16.13,535.79,568.58,180.65,3.5,0.005419,1
2026-03-01 00:03:05,73.08,2.5295,7.8338,293.0,16.082,535.68,568.28,182.2,3.412,0.005507,1
2026-03-01 00:03:10,74.06,2.5807,7.9861,293.13,16.123,533.94,568.48,182.55,3.506,0.005598,1
2026-03-01 00:03:15,76.37,2.6276,8.2964,292.89,16.198,535.48,568.86,182.68,3.506,0.005691,1
2026-03-01 00:03:20,77.21,2.7526,8.3149,293.03,16.158,534.51,569.05,182.61,3.29,0.005787,1
2026-03-01 00:03:25,76.39,2.6966,8.2313,293.18,16.218,535.32,569.05,182.87,3.462,0.005882,1
2026-03-01 00:03:30,75.99,2.7045,8.1997,293.16,16.126,534.79,569.1,182.65,3.368,0.005978,1
2026-03-01 00:03:35,75.73,2.6992,8.2175,293.39,16.205,535.19,569.16,183.16,3.558,0.006073,1
2026-03-01 00:03:40,74.0,2.5733,8.0432,292.84,16.085,534.9,569.04,182.54,3.357,0.006163,1
2026-03-01 00:03:45,75.16,2.5929,8.0065,293.21,16.254,534.84,569.27,183.94,3.47,0.006254,1
2026-03-01 00:03:50,75.58,2.6432,8.1399,293.2,16.195,534.6,569.42,182.98,3.598,0.006346,1
2026-03-01 00:03:55,77.88,2.691,8.5095,293.13,16.255,535.11,569.78,183.71,3.382,0.006439,1
2026-03-01 00:04:00,76.84,2.696,8.1934,293.04,16.182,535.28,569.75,184.39,3.419,0.006533,1
2026-03-01 00:04:05,73.71,2.625,7.9663,293.44,16.152,534.56,569.47,183.81,3.51,0.006626,1
2026-03-01 00:04:10,76.87,2.6836,8.2878,293.63,16.128,535.12,569.95,184.13,3.482,0.006722,1
2026-03-01 00:04:15,75.83,2.66,8.1442,292.88,16.119,533.97,569.92,183.68,3.304,0.006816,1
2026-03-01 00:04:20,75.42,2.6359,8.2725,293.04,16.144,534.53,569.96,183.81,3.474,0.006905,1
2026-03-01 00:04:25,77.38,2.7404,8.3599,293.03,16.278,534.47,570.29,186.73,3.527,0.007003,1
2026-03-01 00:04:30,78.04,2.7045,8.5487,293.17,16.267,535.06,570.46,185.52,3.636,0.007099,1
2026-03-01 00:04:35,77.91,2.6391,8.4151,293.48,16.102,534.89,570.54,185.2,3.404,0.00719,1
2026-03-01 00:04:40,75.29,2.6538,8.1676,293.34,16.107,534.06,570.32,184.37,3.473,0.007283,1
2026-03-01 00:04:45,76.11,2.7033,8.1734,293.2,16.17,534.41,570.51,185.92,3.519,0.007379,1
2026-03-01 00:04:50,77.1,2.7162,8.281,293.24,16.259,534.34,570.73,183.37,3.41,0.007474,1
2026-03-01 00:04:55,78.09,2.7075,8.4664,293.17,16.23,534.66,570.94,185.98,3.581,0.007568,1
2026-03-01 00:05:00,75.93,2.6123,8.2352,293.38,16.044,534.33,570.77,185.16,3.486,0.007659,1
2026-03-01 00:05:05,76.4,2.6939,8.2993,293.41,16.122,534.21,570.92,185.45,3.501,0.007756,1
2026-03-01 00:05:10,75.05,2.6324,8.1354,293.36,16.187,533.37,570.85,186.12,3.542,0.007849,1
2026-03-01 00:05:15,74.94,2.6179,7.9868,292.8,16.159,534.58,570.93,186.47,3.364,0.00794,1
2026-03-01 00:05:20,77.98,2.8023,8.3575,293.25,16.222,534.7,571.4,185.94,3.486,0.00804,1
2026-03-01 00:05:25,78.82,2.721,8.5811,293.21,16.29,534.32,571.59,186.2,3.404,0.008135,1
2026-03-01 00:05:30,76.71,2.7558,8.128,293.44,16.17,534.2,571.44,185.18,3.41,0.008232,1
2026-03-01 00:05:35,78.35,2.7435,8.4853,293.3,16.259,534.39,571.73,186.29,3.497,0.008329,1
2026-03-01 00:05:40,77.41,2.6361,8.3519,293.36,16.285,533.65,571.71,187.54,3.561,0.008421,1
2026-03-01 00:05:45,75.93,2.6505,8.2686,293.15,16.182,534.29,571.63,185.88,3.489,0.008514,1
2026-03-01 00:05:50,77.47,2.7498,8.4,293.44,16.16,532.95,571.91,185.06,3.593,0.008611,1
2026-03-01 00:05:55,79.26,2.7596,8.5071,293.5,16.222,533.27,572.22,186.23,3.43,0.008708,1
2026-03-01 00:06:00,76.93,2.6335,8.2515,292.93,16.147,533.38,572.03,186.35,3.339,0.008802,1
2026-03-01 00:06:05,79.36,2.7709,8.5286,293.0,16.134,534.1,572.42,186.72,3.355,0.008901,1
2026-03-01 00:06:10,73.11,2.5244,7.9419,293.41,16.069,533.21,571.76,186.69,3.645,0.00899,1
2026-03-01 00:06:15,78.3,2.76,8.2718,293.22,16.254,533.76,572.48,187.71,3.603,0.009085,1
2026-03-01 00:06:20,77.22,2.7337,8.3525,293.47,16.199,533.51,572.45,188.08,3.502,0.009181,1
2026-03-01 00:06:25,76.67,2.6412,8.2097,293.31,16.255,533.29,572.47,187.01,3.431,0.009274,1
2026-03-01 00:06:30,77.28,2.6767,8.3618,293.4,16.207,532.88,572.64,187.71,3.448,0.009366,1
2026-03-01 00:06:35,74.19,2.627,8.0402,293.12,16.176,532.42,572.36,186.22,3.506,0.009458,1
2026-03-01 00:06:40,76.87,2.6561,8.169,293.33,16.103,532.73,572.78,187.42,3.479,0.009552,1
2026-03-01 00:06:45,77.76,2.6784,8.3802,293.34,16.189,532.88,572.98,187.98,3.511,0.009645,1
2026-03-01 00:06:50,79.47,2.7343,8.5953,293.13,16.235,532.89,573.28,188.5,3.474,0.009739,1
2026-03-01 00:06:55,76.5,2.6917,8.2695,293.47,16.142,532.48,573.02,188.68,3.387,0.009835,1
2026-03-01 00:07:00,76.1,2.6757,8.2086,292.89,16.25,532.9,573.06,188.31,3.397,0.009929,1
2026-03-01 00:07:05,76.58,2.653,8.1733,293.32,16.088,533.51,573.21,188.13,3.524,0.010021,1
2026-03-01 00:07:10,78.74,2.756,8.418,293.02,16.226,533.44,573.57,190.43,3.423,0.010118,1
2026-03-01 00:07:15,77.88,2.787,8.3011,293.07,16.27,532.68,573.56,187.92,3.459,0.010215,1
2026-03-01 00:07:20,76.62,2.6428,8.3196,293.48,16.224,532.58,573.5,189.3,3.482,0.010308,1
2026-03-01 00:07:25,78.21,2.6594,8.4379,293.06,16.202,533.89,573.79,189.02,3.418,0.010402,1
2026-03-01 00:07:30,77.62,2.7348,8.3785,293.05,16.163,532.69,573.81,189.41,3.479,0.010495,1
2026-03-01 00:07:35,78.95,2.7589,8.3903,293.4,16.291,532.54,574.07,188.53,3.508,0.010591,1
2026-03-01 00:07:40,76.47,2.6481,8.2564,293.06,16.156,532.55,573.86,188.14,3.472,0.010684,1
2026-03-01 00:07:45,77.06,2.7232,8.3733,293.49,16.154,532.45,574.03,189.04,3.585,0.010778,1
2026-03-01 00:07:50,76.99,2.7283,8.1678,293.42,16.244,532.26,574.11,189.35,3.601,0.010873,1
2026-03-01 00:07:55,75.41,2.5511,8.1016,293.13,16.174,532.43,574.01,188.3,3.427,0.010962,1
2026-03-01 00:08:00,78.08,2.7066,8.3068,293.49,16.2,533.25,574.43,189.41,3.496,0.011056,1
2026-03-01 00:08:05,78.05,2.8245,8.3961,292.9,16.233,532.03,574.52,190.21,3.444,0.011156,1
2026-03-01 00:08:10,77.7,2.7427,8.3191,293.39,16.232,532.71,574.57,189.5,3.407,0.011251,1
2026-03-01 00:08:15,77.36,2.7348,8.3857,293.04,16.199,532.89,574.63,191.36,3.469,0.011347,1
2026-03-01 00:08:20,75.62,2.6936,8.1804,293.19,16.171,532.39,574.52,189.36,3.322,0.011442,1
2026-03-01 00:08:25,77.14,2.7005,8.4342,293.21,16.089,532.79,574.79,190.2,3.537,0.011536,1
2026-03-01 00:08:30,77.28,2.7367,8.3421,293.55,16.195,532.53,574.9,190.21,3.542,0.011631,1
2026-03-01 00:08:35,76.62,2.7104,8.302,293.2,16.154,531.85,574.92,189.4,3.499,0.011728,1
2026-03-01 00:08:40,77.61,2.7378,8.337,293.29,16.167,533.04,575.14,190.69,3.546,0.011824,1
2026-03-01 00:08:45,78.48,2.734,8.3879,293.22,16.192,532.52,575.34,190.35,3.402,0.011919,1
2026-03-01 00:08:50,80.73,2.8325,8.7859,293.11,16.251,533.53,575.71,192.53,3.208,0.01202,1
2026-03-01 00:08:55,78.19,2.7132,8.5443,293.1,16.205,531.31,575.5,191.31,3.423,0.012116,1
2026-03-01 00:09:00,78.34,2.7425,8.5176,293.37,16.232,533.2,575.62,191.25,3.362,0.012214,1
2026-03-01 00:09:05,77.87,2.6788,8.4208,293.3,16.177,532.4,575.65,191.12,3.466,0.012307,1
2026-03-01 00:09:10,75.13,2.598,8.0365,293.46,16.179,531.85,575.41,191.85,3.614,0.012399,1
2026-03-01 00:09:15,78.0,2.7187,8.5152,293.26,16.253,531.52,575.85,191.72,3.488,0.012494,1
2026-03-01 00:09:20,78.16,2.6977,8.4871,293.27,16.256,532.24,575.97,190.95,3.441,0.012591,1
2026-03-01 00:09:25,81.79,2.8423,8.9949,293.47,16.346,532.83,576.51,193.32,3.507,0.012691,1
2026-03-01 00:09:30,77.83,2.7175,8.3133,293.24,16.184,530.97,576.13,192.59,3.601,0.012786,1
2026-03-01 00:09:35,78.6,2.767,8.5576,293.03,16.216,532.06,576.31,191.56,3.492,0.012882,1
2026-03-01 00:09:40,78.12,2.7722,8.4809,293.49,16.231,531.41,576.35,192.04,3.411,0.012978,1
2026-03-01 00:09:45,76.45,2.6571,8.2288,293.18,16.161,531.71,576.25,193.79,3.493,0.013072,1
2026-03-01 00:09:50,79.94,2.8513,8.7426,293.33,16.201,531.35,576.77,193.17,3.453,0.013172,1
2026-03-01 00:09:55,79.38,2.8159,8.6053,293.2,16.221,532.27,576.8,195.95,3.432,0.013271,1
2026-03-01 00:10:00,79.47,2.8015,8.5073,293.13,16.33,531.62,576.91,194.15,3.55,0.013371,1
2026-03-01 00:10:05,76.94,2.6991,8.3002,292.95,16.156,531.65,576.7,194.71,3.544,0.013466,1
2026-03-01 00:10:10,80.44,2.828,8.6113,293.4,16.23,532.11,577.22,192.95,3.342,0.013566,1
2026-03-01 00:10:15,76.26,2.7165,8.1982,292.65,16.15,531.26,576.81,194.78,3.384,0.013661,1
2026-03-01 00:10:20,79.27,2.8233,8.617,293.59,16.272,531.04,577.27,192.56,3.406,0.01376,1
2026-03-01 00:10:25,81.7,2.9128,8.9025,293.54,16.315,531.96,577.67,194.02,3.34,0.013862,1
2026-03-01 00:10:30,76.95,2.695,8.3287,293.15,16.228,531.01,577.19,192.76,3.439,0.013958,1
2026-03-01 00:10:35,77.62,2.7388,8.3226,293.65,16.334,531.17,577.37,193.64,3.468,0.014053,1
2026-03-01 00:10:40,78.64,2.8062,8.5238,293.75,16.271,531.0,577.59,194.41,3.442,0.01415,1
2026-03-01 00:10:45,77.76,2.6968,8.4563,293.28,16.256,530.2,577.58,193.79,3.481,0.014244,1
2026-03-01 00:10:50,76.22,2.6549,8.0739,293.42,16.32,530.8,577.48,193.92,3.459,0.014337,1
2026-03-01 00:10:55,78.67,2.7543,8.5062,293.37,16.255,530.75,577.88,194.07,3.344,0.014434,1
2026-03-01 00:11:00,77.01,2.7312,8.3013,293.64,16.175,530.9,577.77,194.53,3.399,0.01453,1
2026-03-01 00:11:05,79.34,2.8133,8.6445,293.06,16.23,530.98,578.15,195.04,3.364,0.014628,1
2026-03-01 00:11:10,77.27,2.6953,8.3763,293.3,16.253,530.46,578.0,194.16,3.409,0.014722,1
2026-03-01 00:11:15,81.0,2.7748,8.7871,293.53,16.219,532.06,578.54,195.07,3.46,0.014821,1
2026-03-01 00:11:20,77.53,2.7234,8.3346,293.51,16.108,530.49,578.22,193.71,3.438,0.014917,1
2026-03-01 00:11:25,78.25,2.7019,8.4509,293.34,16.18,530.71,578.4,195.06,3.387,0.01501,1
2026-03-01 00:11:30,79.98,2.7396,8.7131,293.63,16.3,531.67,578.7,195.8,3.433,0.015106,1
2026-03-01 00:11:35,76.94,2.6423,8.304,293.4,16.222,529.96,578.43,195.7,3.5,0.015196,1
2026-03-01 00:11:40,79.15,2.7833,8.5623,293.38,16.233,531.01,578.79,194.55,3.471,0.015294,1
2026-03-01 00:11:45,80.8,2.8823,8.6032,293.49,16.331,530.44,579.09,195.29,3.623,0.015393,1
2026-03-01 00:11:50,76.45,2.6774,8.2513,293.34,16.212,530.11,578.66,195.66,3.435,0.015486,1
2026-03-01 00:11:55,79.17,2.7793,8.389,293.37,16.259,530.66,579.08,196.33,3.48,0.015584,1
2026-03-01 00:12:00,79.31,2.823,8.5237,293.2,16.244,530.97,579.2,196.7,3.534,0.015682,1
2026-03-01 00:12:05,80.11,2.7422,8.6574,293.95,16.307,530.04,579.39,198.28,3.564,0.015779,1
2026-03-01 00:12:10,77.11,2.7197,8.3895,293.27,16.234,530.2,579.13,194.88,3.455,0.015875,1
2026-03-01 00:12:15,77.01,2.695,8.2375,293.51,16.181,529.7,579.21,195.37,3.332,0.015968,1
2026-03-01 00:12:20,79.8,2.8158,8.6487,293.75,16.296,530.6,579.64,196.79,3.418,0.016067,1
2026-03-01 00:12:25,79.49,2.7629,8.7026,293.1,16.216,530.66,579.7,196.75,3.474,0.016165,1
2026-03-01 00:12:30,79.45,2.748,8.5292,293.49,16.26,530.47,579.8,197.1,3.658,0.016262,1
2026-03-01 00:12:35,79.62,2.7923,8.4751,293.37,16.272,529.78,579.91,198.26,3.334,0.016361,1
2026-03-01 00:12:40,78.11,2.7997,8.4586,293.73,16.202,529.41,579.83,198.6,3.458,0.016459,1
2026-03-01 00:12:45,79.5,2.8169,8.4906,293.19,16.256,529.95,580.1,196.58,3.392,0.016557,1
2026-03-01 00:12:50,79.62,2.7663,8.5331,293.22,16.282,529.44,580.21,197.92,3.518,0.016654,1
2026-03-01 00:12:55,78.13,2.681,8.5121,293.37,16.165,529.99,580.12,198.36,3.413,0.016748,1
2026-03-01 00:13:00,82.03,2.8037,9.0092,293.28,16.314,530.82,580.69,197.59,3.293,0.016847,1
2026-03-01 00:13:05,79.97,2.8515,8.5563,293.29,16.37,529.53,580.55,197.99,3.276,0.016949,1
2026-03-01 00:13:10,77.49,2.6741,8.3105,293.79,16.164,529.77,580.34,197.16,3.491,0.017044,1
2026-03-01 00:13:15,80.29,2.7972,8.6364,293.41,16.318,529.46,580.78,196.85,3.443,0.017142,1
2026-03-01 00:13:20,77.87,2.7784,8.3663,293.23,16.208,530.04,580.58,197.15,3.507,0.017239,1
2026-03-01 00:13:25,80.54,2.7544,8.853,293.31,16.331,530.2,581.0,198.27,3.444,0.017335,1
2026-03-01 00:13:30,81.12,2.899,8.7189,293.47,16.249,529.73,581.17,199.79,3.451,0.017435,1
2026-03-01 00:13:35,78.18,2.7262,8.4125,293.45,16.22,529.71,580.91,198.46,3.499,0.01753,1
2026-03-01 00:13:40,80.88,2.785,8.8646,293.27,16.39,530.02,581.33,199.11,3.363,0.017627,1
2026-03-01 00:13:45,80.08,2.793,8.6951,293.06,16.253,528.96,581.33,198.73,3.439,0.017725,1
2026-03-01 00:13:50,80.72,2.7964,8.7969,293.38,16.308,529.74,581.51,199.27,3.472,0.017822,1
2026-03-01 00:13:55,82.36,2.9003,8.8225,293.38,16.342,529.39,581.81,199.78,3.335,0.017924,1
2026-03-01 00:14:00,79.17,2.7451,8.5083,293.26,16.14,529.29,581.52,197.61,3.309,0.018021,1
2026-03-01 00:14:05,78.44,2.6688,8.388,293.65,16.248,528.94,581.53,199.49,3.487,0.018115,1
